poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,label,id
-17.79094986252622,-0.19592777293559038,-0.048924920121976356,-1.604253710540661,-0.3606771746817685,-0.17377204695776527,-0.8109803964038633,-0.3370701079277296,-0.30032015552762914,-0.2496769018553664,1.0,23.0
-16.466533987987646,-0.2355313436909796,-0.04811739507400148,-2.0327613700023903,-0.3489312592292322,-0.14986374409267,-0.8198278272479342,-0.3166446881932643,-0.26064539142689114,-0.19297019522946357,0.0,24.0
-23.1478497523662,-0.2355313436909796,-0.04811739507400148,-2.0327613700023903,-0.3489312592292322,-0.14986374409267,-0.8198278272479342,-0.3166446881932643,-0.26064539142689114,-0.19297019522946357,1.0,24.0
-20.916527328612915,-0.2521245409519679,-0.04007824836529039,-2.3401958783858845,-0.3547285419124364,-0.16976190188989904,-1.545502011256417,-0.49042951141797175,-0.4481168673278262,-0.4400927677390314,0.0,25.0
-24.815803883324747,-0.2521245409519679,-0.04007824836529039,-2.3401958783858845,-0.3547285419124364,-0.16976190188989904,-1.545502011256417,-0.49042951141797175,-0.4481168673278262,-0.4400927677390314,1.0,25.0
-37.504708781301076,-0.47801565919246514,-0.045763431216954586,-4.05182142869171,-0.6150538972357253,-0.4223907208295259,-3.313794397620768,-1.130093934777733,-1.1842432418192175,-1.0448207083993566,0.0,26.0
-41.44111992617593,-0.47801565919246514,-0.045763431216954586,-4.05182142869171,-0.6150538972357253,-0.4223907208295259,-3.313794397620768,-1.130093934777733,-1.1842432418192175,-1.0448207083993566,1.0,26.0
-21.247259802798794,-0.5719288211945468,-0.06257109181996157,-2.319426245099862,-0.5394487035060251,-0.3446406698718647,-1.1532029068869178,-0.5048327596355193,-0.2734472190243764,-0.2251999223109351,0.0,27.0
-25.67385215872679,-0.5719288211945468,-0.06257109181996157,-2.319426245099862,-0.5394487035060251,-0.3446406698718647,-1.1532029068869178,-0.5048327596355193,-0.2734472190243764,-0.2251999223109351,1.0,27.0
-15.375246205175586,-0.2381615134202093,-0.05927711258155455,-1.711915998082418,-0.3482377103854333,-0.18890679579095604,-0.9975449140256387,-0.33923648577473386,-0.24232585108543958,-0.18971046298230476,0.0,28.0
-23.20546736441827,-0.2381615134202093,-0.05927711258155455,-1.711915998082418,-0.3482377103854333,-0.18890679579095604,-0.9975449140256387,-0.33923648577473386,-0.24232585108543958,-0.18971046298230476,1.0,28.0
-13.88652982161608,-0.26021720575681684,-0.07223534977515556,-1.2011745961542601,-0.1978724602598163,-0.024623890494680722,-0.762182324585126,-0.22966555038095748,-0.37252428238375046,-0.3220856318358756,0.0,29.0
-28.569577314410424,-0.26021720575681684,-0.07223534977515556,-1.2011745961542601,-0.1978724602598163,-0.024623890494680722,-0.762182324585126,-0.22966555038095748,-0.37252428238375046,-0.3220856318358756,1.0,29.0
-14.683787458479685,-0.18510103850394444,-0.08446996138093255,-1.3119147955021049,-0.20880375321291922,-0.059963254085829476,-0.9747060889242221,-0.30804740634266636,-0.40086699038437246,-0.4136406547533511,0.0,30.0
-32.04037418897235,-0.18510103850394444,-0.08446996138093255,-1.3119147955021049,-0.20880375321291922,-0.059963254085829476,-0.9747060889242221,-0.30804740634266636,-0.40086699038437246,-0.4136406547533511,1.0,30.0
-15.959937410134842,-0.16593149250985562,-0.09370726585007105,-1.717739956686387,-0.22547371121788728,-0.030131188104746798,-0.9801755268217107,-0.31993965495661314,-0.47460386043997005,-0.5247969192756727,0.0,31.0
-31.393052740091832,-0.16593149250985562,-0.09370726585007105,-1.717739956686387,-0.22547371121788728,-0.030131188104746798,-0.9801755268217107,-0.31993965495661314,-0.47460386043997005,-0.5247969192756727,1.0,31.0
-23.702895949881054,-0.18161964914020245,-0.08361439328950837,-3.089302234697641,-0.6588296576688322,-0.13394970236080894,-1.2795818066558695,-0.40991228827510895,-0.6131182081052771,-0.6732734833616405,0.0,32.0
-45.986852766859215,-0.18161964914020245,-0.08361439328950837,-3.089302234697641,-0.6588296576688322,-0.13394970236080894,-1.2795818066558695,-0.40991228827510895,-0.6131182081052771,-0.6732734833616405,1.0,32.0
-33.5021321915338,-0.25731716836997975,-0.09864878758668283,-5.1367164213395995,-1.410484386189637,-0.21278460725190484,-2.466444710332439,-0.6172706084856259,-0.8072065164438413,-0.8967127838770921,0.0,33.0
